concertNumber,Date,Location,Time,Venue,eventType,season,programID,orchestra,id
151,1873-04-19T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1872-73,4822,New York Philharmonic,cebf07e4-c698-4ae5-8d02-4ce37dcef7f4
152,1873-11-15T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1873-74,6713,New York Philharmonic,6de25be5-58a0-461b-8215-c14ecf6e7e82
153,1873-12-13T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1873-74,3697,New York Philharmonic,76ce6efb-e04d-49a2-b89a-9f6f447fdaad
154,1874-01-17T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1873-74,16,New York Philharmonic,905b6e05-672b-4d7d-be02-d2161f0e61f3
155,1874-02-14T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1873-74,4378,New York Philharmonic,26a2ff8f-209c-4fd1-9455-707f43945ba7
156,1874-03-14T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1873-74,1328,New York Philharmonic,4ac0636f-e0e1-4db4-859e-835331d62789
157,1874-04-18T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1873-74,5735,New York Philharmonic,cce9459a-a116-46c9-b3d7-580e50fd844d
158,1874-11-14T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1874-75,238,New York Philharmonic,0564bbbb-2ee1-49b8-a6d9-726f7758fce3
159,1874-12-12T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1874-75,4603,New York Philharmonic,5d230d94-9350-43a9-a742-2f6bcc461d31
160,1875-01-23T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1874-75,907,New York Philharmonic,cedd8a4b-1175-40e2-bdbf-7541199b7dfd
161,1875-02-20T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1874-75,5295,New York Philharmonic,d168612e-7cad-445a-ad49-1f2198ce5ef1
162,1875-03-20T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1874-75,2273,New York Philharmonic,29ccffb1-5cd9-4631-abd7-0ded16b4d309
163,1875-04-24T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1874-75,6639,New York Philharmonic,f9f734bf-4ff3-4bbc-a795-e8d3ede9794f
164,1875-11-13T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1875-76,5578,New York Philharmonic,d2e5cd5f-e850-47d6-84fe-16b9783ba241
165,1875-12-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1875-76,2558,New York Philharmonic,d94f0718-2b1b-4b2f-882e-651ac3993b6b
166,1876-01-22T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1875-76,6264,New York Philharmonic,3b760a4b-c470-465d-99c0-007e99d0186e
167,1876-02-19T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1875-76,3240,New York Philharmonic,f480ace8-5f11-4da1-8b9f-27d960906f32
168,1876-03-18T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1875-76,212,New York Philharmonic,c3e54c92-0307-48ec-9b55-ccf6277c268b
169,1876-04-22T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1875-76,4583,New York Philharmonic,8d484025-005b-48c8-b296-f56ea4b370b9
170,1876-11-04T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1876-77,6488,New York Philharmonic,493c2ac0-7a84-4c0f-a63a-4bccb42a5650
171,1876-11-12T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Special,1876-77,11481,New York Philharmonic,61924ac9-7ce6-4b8e-96fe-5d66f47edf25
172,1876-11-14T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Special,1876-77,11474,Musicians from the New York Philharmonic,362f775f-8c64-4ff1-bcb8-29c0901cdba6
173,1876-12-09T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1876-77,3469,New York Philharmonic,9546593e-0cc6-4a6d-b064-0d07b0d3e793
174,1877-01-13T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1876-77,7159,New York Philharmonic,6639344b-d53c-4b8f-ba6c-6d6dc458f1a2
175,1877-02-17T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1876-77,4148,New York Philharmonic,4cf1543d-a743-4d6f-83ee-faf97b218ab0
176,1877-03-24T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1876-77,1105,New York Philharmonic,0a011917-67d6-43b3-ace8-85ece6a648c3
177,1877-04-28T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1876-77,5492,New York Philharmonic,ede4165c-1b41-47ce-a5e8-e395cd513f36
178,1877-11-24T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1877-78,7360,New York Philharmonic,f0cc7687-30a1-4051-8242-461930e74fab
179,1877-12-22T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1877-78,4353,New York Philharmonic,4174c3b6-0075-4f5d-914e-f641ea6c1b9f
180,1878-01-12T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1877-78,680,New York Philharmonic,ed9e53dd-94b8-49f7-8f30-a02cb633ef2f
181,1878-02-09T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1877-78,5040,New York Philharmonic,ca0250e8-167c-4088-a82b-e78e88841fec
182,1878-03-09T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1877-78,2052,New York Philharmonic,311624e7-92d0-4d0c-9b07-c388635697ec
183,1878-04-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1877-78,6383,New York Philharmonic,6a415b35-541f-4132-8622-eceb29ed1401
184,1878-11-07T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1878-79,8764,New York Symphony,1254a8ad-0176-4e7e-8418-aedbd8492961
185,1878-11-09T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1878-79,8764,New York Symphony,1254a8ad-0176-4e7e-8418-aedbd8492961
186,1878-11-23T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1878-79,886,New York Philharmonic,357ad074-457c-4d95-bcf1-dff8ec2f6f24
187,1878-12-05T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1878-79,2580,New York Symphony,1d74ef80-a87a-488d-9779-d06dd27c13b2
188,1878-12-07T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1878-79,2580,New York Symphony,1d74ef80-a87a-488d-9779-d06dd27c13b2
189,1878-12-21T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1878-79,5260,New York Philharmonic,e69879a8-9733-44dd-9e6e-e6aa54b8b289
190,1878-12-28T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1878-79,11600,New York Symphony,3d66954e-48c3-4f23-80a6-41c6066adfb7
191,1879-01-02T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1878-79,2703,New York Symphony,b63b3d00-5b9c-4761-8c5a-1b72a5fc9d42
192,1879-01-04T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1878-79,2703,New York Symphony,b63b3d00-5b9c-4761-8c5a-1b72a5fc9d42
193,1879-01-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1878-79,1577,New York Philharmonic,3f8d8245-872e-423c-b603-db0a9c2a7b33
194,1879-01-30T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1878-79,2829,New York Symphony,5c82bed7-2080-4643-81a7-7cf6c25bc025
195,1879-02-01T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1878-79,2829,New York Symphony,5c82bed7-2080-4643-81a7-7cf6c25bc025
196,1879-02-08T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1878-79,5980,New York Philharmonic,35c47b79-5ad2-4f95-b437-a2006e1908ef
197,1879-02-09T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Chamber,1878-79,10128,Musicians from the New York Philharmonic,e4546aa7-b079-4e65-af6f-a60e96b5c183
198,1879-02-15T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Chamber,1878-79,10109,Musicians from the New York Philharmonic,07672a87-090f-46d2-a25a-523acdea9610
199,1879-03-01T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1878-79,2877,New York Symphony,2049913a-38e9-495c-a78b-89cfe190ce5b
200,1879-03-08T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1878-79,2945,New York Philharmonic,50b90e36-f97f-4ada-966c-4e1507bfef7c
201,1879-03-27T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1878-79,3653,New York Symphony,40e6b2cd-e3fb-4391-8475-9819521941f7
202,1879-03-29T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1878-79,3653,New York Symphony,40e6b2cd-e3fb-4391-8475-9819521941f7
203,1879-04-01T05:00:00Z,"Manhattan, NY",8:00PM,Chickering Hall,Chamber,1878-79,10110,Musicians from the New York Philharmonic,cc699350-777d-4154-95a6-ff37d63c87af
204,1879-04-05T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1878-79,7294,New York Philharmonic,ff2a7c8e-afae-4e64-98aa-2b662a44e1e1
205,1879-04-16T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1878-79,9864,New York Symphony,9e63c54d-6b63-4d96-b31d-cce47ff2fb74
206,1879-11-05T05:00:00Z,"Manhattan, NY",None,Chickering Hall,Chamber,1879-80,10111,Musicians from the New York Philharmonic,248d97a5-da11-4c14-91d1-1c6f9f0c66e9
207,1879-11-06T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1879-80,3750,New York Symphony,abadf175-c49f-4344-9295-70235eb4941d
208,1879-11-08T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,3750,New York Symphony,abadf175-c49f-4344-9295-70235eb4941d
209,1879-11-21T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1879-80,6236,New York Philharmonic,3999c0b2-12fe-4235-8195-f08f6509c0c2
210,1879-12-02T05:00:00Z,"Manhattan, NY",None,Chickering Hall,Chamber,1879-80,10112,Musicians from the New York Philharmonic,f44a6288-b4ee-4239-bb9a-261f02856c8c
211,1879-12-04T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1879-80,3876,New York Symphony,866ddb79-4d11-44c3-93b6-aa420db08a84
212,1879-12-06T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,3876,New York Symphony,866ddb79-4d11-44c3-93b6-aa420db08a84
213,1879-12-20T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1879-80,3207,New York Philharmonic,6c716c98-3e2c-4063-a863-d90aaa5d3689
214,1879-12-27T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,11601,New York Symphony,4a6422a3-feaf-428a-93ee-6633b50cf863
215,1880-01-06T05:00:00Z,"Manhattan, NY",None,Chickering Hall,Chamber,1879-80,10113,Musicians from the New York Philharmonic,c6e09d54-53c6-4bf5-81dc-49ac78956627
216,1880-01-15T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1879-80,4793,New York Symphony,8c699c22-eb9b-4a65-8ae8-a2f7f42218a8
217,1880-01-17T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,4793,New York Symphony,8c699c22-eb9b-4a65-8ae8-a2f7f42218a8
218,1880-01-24T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1879-80,6899,New York Philharmonic,fa97762a-f0d7-47fd-a2b5-61fdb0d20061
219,1880-02-12T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1879-80,4813,New York Symphony,a055bda7-33c1-4272-9f8a-de67c7672bc8
220,1880-02-14T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,4813,New York Symphony,a055bda7-33c1-4272-9f8a-de67c7672bc8
221,1880-02-18T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,4813,New York Symphony,a055bda7-33c1-4272-9f8a-de67c7672bc8
222,1880-02-25T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,4813,New York Symphony,a055bda7-33c1-4272-9f8a-de67c7672bc8
223,1880-04-01T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1879-80,4813,New York Symphony,a055bda7-33c1-4272-9f8a-de67c7672bc8
224,1880-04-03T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,4813,New York Symphony,a055bda7-33c1-4272-9f8a-de67c7672bc8
225,1880-02-21T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1879-80,3895,New York Philharmonic,ab56772c-1822-4121-8c43-d96abeb09ac3
226,1880-03-11T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1879-80,4916,New York Symphony,970a0f63-a8d1-4fe5-a703-89cb67afbff6
227,1880-03-13T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1879-80,4916,New York Symphony,970a0f63-a8d1-4fe5-a703-89cb67afbff6
228,1880-03-20T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1879-80,871,New York Philharmonic,e0875269-1d92-465f-94b9-1aa4b355ef38
229,1880-04-15T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1879-80,5810,New York Symphony,d3029ef0-e73d-4f07-8057-56ae29e89195
230,1880-04-17T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1879-80,5810,New York Symphony,d3029ef0-e73d-4f07-8057-56ae29e89195
231,1880-04-24T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1879-80,5245,New York Philharmonic,d3628cd6-7454-4de0-9936-294c3c7cf698
232,1880-11-04T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1880-81,5850,New York Symphony,e63c280e-e61b-4aef-ba09-b62a8eea84ba
233,1880-11-06T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1880-81,5850,New York Symphony,e63c280e-e61b-4aef-ba09-b62a8eea84ba
234,1880-11-13T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1880-81,7140,New York Philharmonic,8c1677db-9c86-40f0-b107-7839debf7973
235,1880-12-02T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1880-81,6007,New York Symphony,2fe2ecf5-b835-41c2-90fc-1c01a6900e9c
236,1880-12-04T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1880-81,6007,New York Symphony,2fe2ecf5-b835-41c2-90fc-1c01a6900e9c
237,1880-12-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1880-81,4118,New York Philharmonic,86ac5a29-8ac3-4634-8cb3-597e064177e4
238,1880-12-29T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1880-81,11602,New York Symphony,6668217e-d137-4909-9c98-151b4d8eba58
239,1881-01-06T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1880-81,6019,New York Symphony,d767aea5-1853-44f2-bb6b-3364f328baa5
240,1881-01-08T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1880-81,6019,New York Symphony,d767aea5-1853-44f2-bb6b-3364f328baa5
241,1881-01-15T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1880-81,415,New York Philharmonic,2fc39504-c22d-4da3-8694-f12fab930d57
242,1881-02-03T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1880-81,6721,New York Symphony,317fcc07-68d2-4e93-9837-1b0e9fa082d1
243,1881-02-05T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1880-81,6721,New York Symphony,317fcc07-68d2-4e93-9837-1b0e9fa082d1
244,1881-02-12T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1880-81,4805,New York Philharmonic,7be601e4-eef5-4557-bf6e-14b96dae8da9
245,1881-03-03T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1880-81,6866,New York Symphony,165cb751-a150-4e51-b03d-e963088fb7d9
246,1881-03-05T05:00:00Z,"Manhattan, NY",None,Steinway Hall,Subscription Season,1880-81,6866,New York Symphony,165cb751-a150-4e51-b03d-e963088fb7d9
247,1881-03-12T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1880-81,1751,New York Philharmonic,fa99af41-b47e-444e-af35-788a43ca0c1d
248,1881-03-31T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1880-81,6939,New York Symphony,2cac83e8-af90-45fb-861a-37d79815026f
249,1881-04-02T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1880-81,6939,New York Symphony,2cac83e8-af90-45fb-861a-37d79815026f
250,1881-04-09T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1880-81,6165,New York Philharmonic,e06f8121-fc86-4a06-906d-a3c63756a07b
251,1881-11-03T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1881-82,6976,New York Symphony,52475378-d0d6-4fa6-a4f4-9917d889303e
252,1881-11-05T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1881-82,6976,New York Symphony,52475378-d0d6-4fa6-a4f4-9917d889303e
253,1881-11-12T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1881-82,656,New York Philharmonic,218dc2ca-e502-4561-887c-eaa640c776ac
254,1881-12-01T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1881-82,8016,New York Symphony,2a94d469-f4e9-4451-ad53-6462b75aadc3
255,1881-12-03T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1881-82,8016,New York Symphony,2a94d469-f4e9-4451-ad53-6462b75aadc3
256,1881-12-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1881-82,5007,New York Philharmonic,a3d851db-ffad-4d91-874f-e039663ac2b2
257,1881-12-29T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1881-82,11603,New York Symphony,4d4b1d39-6d5c-4a27-b82c-290b58bf8245
258,1882-01-05T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1881-82,8017,New York Symphony,19e648a2-dfc5-4d9b-b637-169383973f89
259,1882-01-07T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1881-82,8017,New York Symphony,19e648a2-dfc5-4d9b-b637-169383973f89
260,1882-01-14T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1881-82,1289,New York Philharmonic,a8933c4d-4c9b-41ae-96ea-9e2c97b98d29
261,1882-02-02T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1881-82,8018,New York Symphony,28ebc019-5330-4414-be16-16a2de56b997
262,1882-02-04T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1881-82,8018,New York Symphony,28ebc019-5330-4414-be16-16a2de56b997
263,1882-02-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1881-82,5703,New York Philharmonic,70fe06fd-c351-4843-adc6-ed2b1dfc636c
264,1882-03-02T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1881-82,8019,New York Symphony,ebc5268d-47bd-42e6-b3c0-987732fe790b
265,1882-03-04T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1881-82,8019,New York Symphony,ebc5268d-47bd-42e6-b3c0-987732fe790b
266,1882-03-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1881-82,2672,New York Philharmonic,7f054703-bd95-4912-8652-59940cdeff43
267,1882-04-06T05:00:00Z,"Manhattan, NY",2:00PM,Steinway Hall,Subscription Season,1881-82,8020,New York Symphony,9e08db7b-9799-4500-ae21-7bb82f5365b2
268,1882-04-08T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1881-82,8020,New York Symphony,9e08db7b-9799-4500-ae21-7bb82f5365b2
269,1882-04-15T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1881-82,7006,New York Philharmonic,bf410df9-3fb3-42c8-a74a-0e5aac61d0bf
270,1882-11-03T05:00:00Z,"Manhattan, NY",2:00PM,Academy of Music,Subscription Season,1882-83,8021,New York Symphony,8746a9bf-b714-414c-99bc-c37716bc54cf
271,1882-11-04T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,8021,New York Symphony,8746a9bf-b714-414c-99bc-c37716bc54cf
272,1882-11-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,1534,New York Philharmonic,ce40f224-c166-4b2b-9003-2d8dc27b12a1
273,1882-12-09T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,5932,New York Philharmonic,689fb578-d3e0-4449-9ef3-31e051c3c284
274,1882-12-15T05:00:00Z,"Manhattan, NY",2:00PM,Academy of Music,Subscription Season,1882-83,8022,New York Symphony,aeeb0f52-0aa6-4c02-beb5-e27a531a4a89
275,1882-12-16T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,8022,New York Symphony,aeeb0f52-0aa6-4c02-beb5-e27a531a4a89
276,1882-12-27T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1882-83,11604,New York Symphony,3538437f-a736-4518-864d-a9be2636c369
277,1883-01-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,2238,New York Philharmonic,d669bd40-b04e-491d-ac8c-c2025bd86b06
278,1883-01-12T05:00:00Z,"Manhattan, NY",2:00PM,Academy of Music,Subscription Season,1882-83,8023,New York Symphony,26fc5644-4448-4573-81d2-b16cb21baa66
279,1883-01-13T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,8023,New York Symphony,26fc5644-4448-4573-81d2-b16cb21baa66
280,1883-02-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,6599,New York Philharmonic,6e58c29b-5fc4-47ef-bba7-0fbc1886f1b0
281,1883-02-16T05:00:00Z,"Manhattan, NY",2:00PM,Academy of Music,Subscription Season,1882-83,8025,New York Symphony,4ca0caec-2335-4cd6-9534-9dcb40206636
282,1883-02-17T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,8025,New York Symphony,4ca0caec-2335-4cd6-9534-9dcb40206636
283,1883-03-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,3574,New York Philharmonic,8924e226-fcfd-42f4-8c52-326fc54a5366
284,1883-03-30T05:00:00Z,"Manhattan, NY",None,Academy of Music,Subscription Season,1882-83,8026,New York Symphony,96161753-318a-4016-9771-ff61f24434a1
285,1883-03-31T05:00:00Z,"Manhattan, NY",None,Academy of Music,Subscription Season,1882-83,8026,New York Symphony,96161753-318a-4016-9771-ff61f24434a1
286,1883-04-07T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,528,New York Philharmonic,cd1a213e-60f1-44d2-a137-eb8cecab2151
287,1883-04-27T05:00:00Z,"Manhattan, NY",2:00PM,Academy of Music,Subscription Season,1882-83,8027,New York Symphony,c6aba6fd-1c83-443c-bbd2-06fabbb09bad
288,1883-04-28T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1882-83,8027,New York Symphony,c6aba6fd-1c83-443c-bbd2-06fabbb09bad
289,1883-11-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1883-84,6875,New York Philharmonic,6eb6e33c-445d-4c18-9f54-2fc4fcee858e
290,1883-11-16T05:00:00Z,"Manhattan, NY",2:00PM,Academy of Music,Subscription Season,1883-84,8028,New York Symphony,272f11b7-234f-4ae8-b208-48253c971ab5
291,1883-11-17T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1883-84,8028,New York Symphony,272f11b7-234f-4ae8-b208-48253c971ab5
